experimental_start_date,experimental_end_date,hatching_date,parental_tank_ID,clutch_ID,fish_age,fish_ID,replicate_ID,housing_tank_ID,initial_length1,initial_length2,initial_length3,initial_length_avg,final_length1,final_length2,final_length3,final_length_avg,fish_type1,fish_type2,growth,initial_size_ratio,final_size_ratio
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_5,1,D33,10.07,10.01,10.06,10.04,16.467,16.425,16.402,16.43,P,P1,6.39,1,0.66
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_4 ,1,D33,10.06,10,10.03,10.03,10.79,10.848,10.84,10.83,P,P2,0.8,NA,0.66
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_1,1,D21,8.83,8.8,8.75,8.79,12.638,12.621,12.621,12.63,S,S,3.84,NA,NA
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_10,2,C34,10.87,10.88,10.8,10.85,14.621,14.67,14.793,14.69,P,P1,3.85,0.94,0.91
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_8,2,C34,10.22,10.19,10.23,10.21,13.317,13.308,13.328,13.32,P,P2,3.11,NA,0.91
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_2,2,C15,10.2,10.09,10.15,10.15,12.884,12.869,12.853,12.87,S,S,2.72,NA,NA
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_10,3,D23,10.58,10.51,10.58,10.56,17.05,17.044,16.894,17,P,P1,6.44,0.97,0.67
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_3,3,D23,10.22,10.29,10.32,10.28,11.477,11.545,11.397,11.47,P,P2,1.2,NA,0.67
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_1,3,D12,11.8,11.81,11.85,11.82,13.19,13.216,13.266,13.22,S,S,1.41,NA,NA
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_2_1,5,A31,13.12,12.95,12.11,12.73,19.164,19.334,19.357,19.29,P,P1,6.56,0.88,0.72
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_9,5,A31,11.2,11.12,11.21,11.18,13.889,13.836,13.899,13.87,P,P2,2.7,NA,0.72
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_2,5,A33,12.21,12.31,12.38,12.3,14.573,14.545,14.534,14.55,S,S,2.25,NA,NA
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_9,6,B25,12.27,12.14,12.21,12.2,17.276,17.384,17.452,17.37,P,P1,5.17,0.93,0.75
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_5,6,B25,11.51,11.27,11.33,11.37,13.114,13.129,13.043,13.1,P,P2,1.73,NA,0.75
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_7,6,B13,12.19,12.22,12.22,12.21,14.716,14.696,14.696,14.7,S,S,2.49,NA,NA
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_7,7,C31,12.95,12.75,12.85,12.85,21.144,21.27,21.057,21.16,P,P1,8.31,0.99,0.93
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_4,7,C31,12.65,12.67,12.73,12.68,19.627,19.618,19.493,19.58,P,P2,6.9,NA,0.93
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_3,7,C35,13.02,12.93,12.99,12.98,13.926,13.939,13.897,13.92,S,S,0.94,NA,NA
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_3,10,D31,12.83,12.9,12.98,12.9,18.217,18.34,18.404,18.32,P,P1,5.42,0.96,0.72
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_6,10,D31,12.36,12.34,12.32,12.34,13.258,13.186,13.127,13.19,P,P2,0.85,NA,0.72
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_10,10,D14,11.4,11.44,11.49,11.44,13.924,13.902,13.861,13.9,S,S,2.45,NA,NA
12/07/2022,18/08/2022,06/11/2022,A25,L2,32,L2_16,11,A25,13.81,13.88,13.75,13.81,18.893,19.001,18.848,18.91,P,P1,5.1,0.99,0.74
12/07/2022,18/08/2022,06/11/2022,C33,L6,32,L6_13,11,A25,13.7,13.66,13.59,13.65,13.955,13.888,13.983,13.94,P,P2,0.29,NA,0.74
12/07/2022,18/08/2022,06/11/2022,B14,L3,32,L3_20,11,A15,10.92,10.85,10.95,10.91,14.437,14.413,14.426,14.43,S,S,3.52,NA,NA
12/07/2022,18/08/2022,06/11/2022,B14,L3,32,L3_15,13,B33,11.78,11.71,11.69,11.73,19.974,19.648,19.678,19.77,P,P1,8.04,0.98,0.83
12/07/2022,18/08/2022,06/11/2022,A25,L2,32,L2_11,13,B33,11.5,11.55,11.58,11.54,16.303,16.385,16.428,16.37,P,P2,4.83,NA,0.83
12/07/2022,18/08/2022,06/11/2022,C33,L6,32,L6_12,13,B31,13.87,14.02,13.85,13.91,16.648,16.706,16.636,16.66,S,S,2.75,NA,NA
12/07/2022,18/08/2022,06/11/2022,B14,L3,32,L3_11,14,B32,11.84,11.88,11.89,11.87,17.445,17.386,17.495,17.44,P,P1,5.57,0.97,0.87
12/07/2022,18/08/2022,06/11/2022,C33,L6,32,L6_20,14,B32,11.5,11.48,11.57,11.52,15.106,15.117,15.272,15.17,P,P2,3.65,NA,0.87
12/07/2022,18/08/2022,06/11/2022,A25,L2,32,L2_13,14,B23,11.51,11.59,11.54,11.55,15.178,15.064,15.064,15.1,S,S,3.56,NA,NA
12/07/2022,18/08/2022,06/11/2022,A25,L2,32,L2_20,15,C32,13.16,13.28,13.32,13.26,16.588,16.389,16.503,16.49,P,P1,3.24,0.98,0.86
12/07/2022,18/08/2022,06/11/2022,C33,L6,32,L6_18,15,C32,12.95,12.92,12.95,12.94,14.24,14.315,14.239,14.26,P,P2,1.32,NA,0.86
12/07/2022,18/08/2022,06/11/2022,B14,L3,32,L3_19,15,C22,11.34,11.21,11.42,11.32,13.769,13.783,13.769,13.77,S,S,2.45,NA,NA
12/07/2022,19/08/2022,06/11/2022,C33,L6,32,L6_14,20,B22,14.57,14.54,14.56,14.56,23.633,23.552,23.605,23.6,P,P1,9.04,0.74,0.56
12/07/2022,19/08/2022,06/11/2022,B14,L3,32,L3_13,20,B22,10.8,10.65,10.8,10.75,13.273,13.202,13.273,13.25,P,P2,2.5,NA,0.56
12/07/2022,19/08/2022,06/11/2022,A25,L2,32,L2_17,20,B35,11.6,11.62,11.66,11.63,16.856,16.973,16.878,16.9,S,S,5.28,NA,NA
13/07/2022,19/08/2022,06/11/2022,B14,L3,33,L3_24,21,A12,12.42,12.49,12.42,12.44,16.193,16.313,16.199,16.24,P,P1,3.8,0.99,0.97
13/07/2022,19/08/2022,06/11/2022,C33,L6,33,L6_28,21,A12,12.27,12.31,12.27,12.28,15.703,15.848,15.698,15.75,P,P2,3.47,NA,0.97
13/07/2022,19/08/2022,06/11/2022,A25,L2,33,L2_21,21,A11,12.54,12.35,12.38,12.42,13.969,14.046,14.1,14.04,S,S,1.62,NA,NA
13/07/2022,19/08/2022,06/11/2022,B14,L3,33,L3_23,23,B12,14.81,14.88,14.88,14.86,17.777,17.831,17.693,17.77,P,P1,2.91,0.85,0.76
13/07/2022,19/08/2022,06/11/2022,A25,L2,33,L2_26,23,B12,12.51,12.66,12.5,12.56,13.44,13.504,13.513,13.49,P,P2,0.93,NA,0.76
13/07/2022,19/08/2022,06/11/2022,C33,L6,33,L6_26,23,A22,13.32,13.36,13.48,13.39,14.611,14.634,14.612,14.62,S,S,1.23,NA,NA
13/07/2022,19/08/2022,06/11/2022,C33,L6,33,L6_23,26,C21,13.48,13.55,13.36,13.46,17.281,17.742,17.842,17.62,P,P1,4.16,1.02,0.78
13/07/2022,19/08/2022,06/11/2022,A25,L2,33,L2_22,26,C21,13.73,13.79,13.77,13.76,13.828,13.599,13.912,13.78,P,P2,0.02,NA,0.78
13/07/2022,19/08/2022,06/11/2022,B14,L3,33,L3_27,26,C12,11.89,11.8,11.91,11.87,12.924,13.076,13.131,13.04,S,S,1.17,NA,NA
